Country,Years,Latest_Rate,Forecast_2037,Change_Pct,Risk
Georgia,22,5.099070349,5.544835764637519,8.742091893769219,MEDIUM
Lesotho,22,28.66132363,31.088947451262165,8.470033877713716,MEDIUM
Mozambique,22,10.60588832,11.435468416749831,7.821882257476299,MEDIUM
Paraguay,22,6.355056951,6.840867078000224,7.644465356424221,MEDIUM
Eswatini,22,27.22723538,29.074555814312962,6.7848255929426005,MEDIUM
Greece,22,4.681866899,4.9808439558923885,6.38585127134321,MEDIUM
Dominican Republic,22,4.197515977,4.445074733493984,5.897744233743595,MEDIUM
Philippines,22,3.492605002,3.6865741395199025,5.55370954942882,MEDIUM
Peru,22,1.537804683,1.6176108851378852,5.18961887813975,MEDIUM
Brunei,22,3.047169686,3.203030490353205,5.114936823810508,MEDIUM
Mexico,22,6.950209099,7.303890607320992,5.088789463498002,MEDIUM
Côte d’Ivoire,22,7.391310765,7.767378586840244,5.087971995725494,MEDIUM
Brazil,22,7.594025788,7.944213578132499,4.611358980184951,MEDIUM
Ghana,22,5.316740355,5.543830714713503,4.271232833477402,MEDIUM
South Africa,22,22.29580067,23.23971800676434,4.233610403749362,MEDIUM
South Sudan,22,7.887841327,8.215894319879723,4.158970487360095,MEDIUM
Djibouti,22,7.963910122,8.29249859094512,4.125969076891107,MEDIUM
Jamaica,22,1.693093154,1.7617021642295456,4.0522879717193385,MEDIUM
Uruguay,22,24.75190837,25.74636888056404,4.017712475735231,MEDIUM
South Korea,22,27.52969953,28.565540564209755,3.7626310925804587,MEDIUM
United States,22,15.63138897,16.197501121152847,3.6216369014892926,MEDIUM
Ecuador,22,7.559033215,7.818737211443356,3.435677408163835,MEDIUM
Libya,22,5.004898918,5.166377838717609,3.226417223669663,MEDIUM
Vietnam,22,7.299772607,7.533844593492961,3.206565452032037,MEDIUM
Netherlands,22,11.50394113,11.83883504817346,2.911123365366701,MEDIUM
Kenya,22,4.581578427,4.708735516141378,2.775399159207239,MEDIUM
North Korea,22,9.308297702,9.564614989599674,2.7536429947293177,MEDIUM
Thailand,22,16.58879032,17.034369273777003,2.6860243886487414,MEDIUM
Türkiye,22,2.689629541,2.7594194822526132,2.594778953337399,MEDIUM
Portugal,22,11.51811295,11.814697088734885,2.5749368843868146,MEDIUM
Venezuela,22,8.628602529,8.847230051367651,2.533753543900794,MEDIUM
Suriname,22,22.26340581,22.8219384452228,2.508747493485141,MEDIUM
Liberia,22,5.96625892,6.1093844562610045,2.39891594012492,MEDIUM
Timor-Leste,22,3.559031625,3.6432190827698485,2.365459671065685,MEDIUM
Cabo Verde,22,14.89953439,15.238363449033896,2.2740915935017787,MEDIUM
Sierra Leone,22,6.138500761,6.27519219813003,2.226788632144145,MEDIUM
Solomon Islands,22,19.59542783,20.022097221590137,2.1773925800023655,MEDIUM
Zimbabwe,22,17.34344471,17.713575417819207,2.134124529516301,MEDIUM
Malaysia,22,5.654029414,5.772266595046867,2.0912020859689675,MEDIUM
Papua New Guinea,22,1.817868107,1.8552895068822566,2.0585321750329033,MEDIUM
Niger,22,4.475997955,4.566886706364997,2.030580716943078,MEDIUM
Guinea,22,4.81861485,4.914813049552641,1.99638698147125,MEDIUM
Samoa,22,11.9962354,12.212349420657493,1.8015153375324124,MEDIUM
Togo,22,9.340400499,9.504515165723083,1.7570410041909224,MEDIUM
Australia,22,13.07570055,13.302342297329119,1.7333048157723254,MEDIUM
Palestine,22,0.651149546,0.6611029354813626,1.5285873333562296,MEDIUM
United Kingdom,22,9.548068531,9.681344997970713,1.3958474066037592,MEDIUM
Honduras,22,2.973469807,3.0146164277774385,1.3837914439411254,MEDIUM
Nepal,22,10.13987037,10.27668036862808,1.3492282804013724,MEDIUM
Guyana,22,24.78289999,25.112987150340604,1.3319149916829556,MEDIUM
Mongolia,22,18.49847155,18.716974334664496,1.1811937222699582,MEDIUM
Cambodia,22,4.499792587,4.548420429581715,1.0806685339720363,MEDIUM
Cameroon,22,8.496748393,8.588173255816027,1.0759982358821691,MEDIUM
Benin,22,7.12387721,7.1988171379014645,1.0519542335214485,MEDIUM
Costa Rica,22,8.062089482,8.144871171338387,1.0268019168382125,MEDIUM
Democratic Republic of the Congo,22,8.76966981,8.856685461052171,0.9922340628258084,MEDIUM
Bahamas,22,3.252527686,3.2769797640445892,0.7517869302032177,MEDIUM
United Arab Emirates,22,1.706592121,1.7174174622050977,0.6343250429841764,MEDIUM
El Salvador,22,7.634803971,7.6831770712809675,0.6335866705249728,MEDIUM
Senegal,22,6.758277028,6.796474146666345,0.5651901883881248,MEDIUM
Norway,22,13.188877,13.254294662405778,0.4960063120292826,MEDIUM
Mali,22,4.156531094,4.177106018916688,0.495002309651626,MEDIUM
Kiribati,22,17.46706453,17.528811528396492,0.3535052973007696,MEDIUM
Mauritania,22,2.707818963,2.7171101725391362,0.3431252113266342,MEDIUM
Gambia,22,4.811847605,4.828123352160686,0.33824319672498177,MEDIUM
Haiti,22,7.814185215,7.83070038571676,0.21134859569309425,MEDIUM
Spain,22,8.715583477,8.732591941308844,0.19515003618207438,MEDIUM
Saint Lucia,22,5.266228338,5.267505520172183,0.02425231285486066,MEDIUM
Madagascar,22,6.090277077,6.09126072670786,0.016151148714979538,MEDIUM
Colombia,22,4.961829057,4.961560265019994,-0.005417195492194034,LOW
Chad,22,5.210003287,5.20047312748196,-0.18292041277248372,LOW
Mauritius,22,10.52018897,10.484979284161746,-0.33468681920695376,LOW
Gabon,22,7.29743881,7.271721393159912,-0.35241702616055226,LOW
Comoros,22,5.998295164,5.974556986613215,-0.3957487375622097,LOW
Burkina Faso,22,8.498691677,8.463481189095894,-0.41430480410762344,LOW
Trinidad and Tobago,22,13.34410885,13.287138455588545,-0.4269329263711331,LOW
Eritrea,22,13.22531625,13.166948241141236,-0.44133544903899097,LOW
Malta,22,6.467076193,6.435354092069551,-0.49051688867968546,LOW
Cuba,22,13.79296748,13.70466125041037,-0.6402264756853483,LOW
Tonga,22,4.734758406,4.699098478018172,-0.7531520074316577,LOW
Guinea-Bissau,22,7.666724974,7.6042386483521085,-0.8150328316171523,LOW
Italy,22,6.991283882,6.931525259111498,-0.8547589240705658,LOW
São Tomé and Príncipe,22,0.857779444,0.8491923887936335,-1.0010796209248505,LOW
Fiji,22,8.266383146,8.183301999153914,-1.0050483431352826,LOW
Malawi,22,7.568460141,7.491829252332059,-1.0125030354961444,LOW
Zambia,22,7.125906044,7.045532516552026,-1.12790607891397,LOW
Sweden,22,13.8403925,13.68401499605272,-1.1298632170097738,LOW
Micronesia,22,19.76216792,19.531168242498005,-1.1688984651740308,LOW
Somalia,22,7.960226565,7.866195647378945,-1.1812593128252846,LOW
Iceland,22,11.90902988,11.764456088748465,-1.2139846209835423,LOW
Bosnia and Herzegovina,22,8.97168902,8.858529231906537,-1.2612986009791727,LOW
Vanuatu,22,15.72843595,15.523366743730984,-1.3038118152429266,LOW
Canada,22,9.441608268,9.312179482288697,-1.3708340998426076,LOW
Argentina,22,7.938106313,7.824445483553631,-1.4318380853658994,LOW
Germany,22,12.90285752,12.718107377940862,-1.4318544692349442,LOW
New Zealand,22,11.92407609,11.749966355588517,-1.460152829429675,LOW
Equatorial Guinea,22,7.033787788,6.914417054195225,-1.69710456730622,LOW
Tanzania,22,5.104746975,5.003933307056467,-1.9749003905043299,LOW
India,22,12.55596233,12.297462085488462,-2.0587848045219315,LOW
Belize,22,4.17651988,4.089983437670696,-2.0719748694049933,LOW
Armenia,22,2.45846852,2.406611894198021,-2.1093060732776445,LOW
Egypt,22,0.629679786,0.6161387026492632,-2.1504713430227187,LOW
Nigeria,22,4.993339664,4.876572575258532,-2.338456756373139,LOW
Bhutan,22,4.903836611,4.7888757816400735,-2.344303827375754,LOW
Sudan,22,3.160006173,3.082032224941165,-2.4675251815982784,LOW
Chile,22,7.692166171,7.498094896267524,-2.5229729885989483,LOW
Belgium,22,18.36102273,17.884425861543402,-2.5956989186549317,LOW
Botswana,22,8.35227579,8.117382069798273,-2.8123319452999906,LOW
Pakistan,22,5.639594952,5.479180776822169,-2.8444272424377406,LOW
Namibia,22,8.589052874,8.340249411604168,-2.896750853042105,LOW
Angola,22,8.113778244,7.86996253783593,-3.0049589578611964,LOW
Central African Republic,22,9.189317766,8.907490246544885,-3.066903622572096,LOW
Laos,22,4.578142449,4.435439835281395,-3.1170417982466914,LOW
Ethiopia,22,6.068123592,5.873631679677823,-3.20514091998041,LOW
Czechia,22,13.32609903,12.89752476353016,-3.2160519406693866,LOW
Afghanistan,22,3.5954195,3.4763425274833306,-3.311907623482311,LOW
Lebanon,22,0.701907131,0.6775551362894932,-3.4694040899417593,LOW
Austria,22,14.5130731,13.99982461816193,-3.536456257758868,LOW
Barbados,22,3.503100187,3.376844508968265,-3.604112679970428,LOW
Montenegro,22,11.30898137,10.900969965365833,-3.6078528320554333,LOW
Poland,22,13.66797343,13.152551861604659,-3.7710167570565827,LOW
Croatia,22,15.68230802,15.03977939358246,-4.097156015543817,LOW
France,22,16.58225897,15.899522271467433,-4.1172719577456265,LOW
Iraq,22,2.974568893,2.8478936279082845,-4.25860921862721,LOW
Tajikistan,22,2.432021079,2.326139446760301,-4.353647801573965,LOW
Puerto Rico,22,5.421609597,5.184257395912173,-4.377891783634948,LOW
Rwanda,22,8.677832781,8.290231904867424,-4.466563091434791,LOW
Yemen,22,4.212060215,4.0232997492861795,-4.481428471549537,LOW
Romania,22,9.623966182,9.169568362549027,-4.721523443222892,LOW
Myanmar,22,2.894005987,2.753333308387613,-4.860828873343554,LOW
Israel,22,4.366924178,4.144876203506113,-5.084768258916319,LOW
Bolivia,22,4.196779988,3.9788997243670927,-5.191605570363475,LOW
Iran,22,4.07295737,3.859841644234736,-5.232456576516146,LOW
Uganda,22,5.498001205,5.206027656966144,-5.310539906181328,LOW
Burundi,22,7.651675227,7.233591584354748,-5.463949138483891,LOW
Denmark,22,10.45852505,9.835177420056223,-5.9601868041973844,LOW
Seychelles,22,4.266162038,4.010087390085262,-6.002459485453276,LOW
Singapore,22,8.097778476,7.604487206097308,-6.0916863972594095,LOW
Ireland,22,8.546966022,8.011052237145517,-6.270222479825399,LOW
Tunisia,22,1.841080472,1.7245590803708974,-6.328967875180558,LOW
Maldives,22,1.468553664,1.3750112605389997,-6.3696959637288675,LOW
Morocco,22,2.913031537,2.7219296704742817,-6.560240220486101,LOW
Switzerland,22,14.02485888,13.104690697958757,-6.560979970739234,LOW
Japan,22,17.43068584,16.261723568705715,-6.706346967781066,LOW
North Macedonia,22,5.78062186,5.375254374855724,-7.0125238246301045,LOW
Uzbekistan,22,8.343277228,7.728968356989757,-7.362920519392849,LOW
Slovakia,22,9.912086967,9.165920166913766,-7.5278475922419155,LOW
Azerbaijan,22,1.558857505,1.4403262781251591,-7.603724297740791,LOW
Republic of the Congo,22,6.712598984,6.1983789260542475,-7.6605210466383635,LOW
Ukraine,22,21.21330371,19.57595055338299,-7.718520316310551,LOW
Syria,22,0.586863603,0.5414099748911807,-7.745177563656007,LOW
Serbia,22,15.14374655,13.949632612142073,-7.8851949477319145,LOW
Nicaragua,22,4.244047393,3.900723128984453,-8.089548306689862,LOW
Indonesia,22,1.204409793,1.1032451908433047,-8.399516737962559,LOW
Moldova,22,14.14251766,12.934334600170748,-8.542913566559768,LOW
Luxembourg,22,8.224510721,7.515446876848818,-8.621349867545288,LOW
Finland,22,14.57026317,13.299209076661837,-8.723617950533994,LOW
Oman,22,0.908916013,0.8281695925451167,-8.883815369075618,LOW
Slovenia,22,18.8503857,17.162956660615357,-8.951695027569876,LOW
Bangladesh,22,2.811823685,2.551926656838579,-9.243005866543898,LOW
Turkmenistan,22,6.831152537,6.192514136828137,-9.348911427650982,LOW
Albania,22,2.754698399,2.491794865357127,-9.543822791573529,LOW
Bulgaria,22,9.510895225,8.502563786480136,-10.601856236092265,LOW
Hungary,22,16.45272934,14.64101817224628,-11.011614731600034,LOW
Kyrgyzstan,22,6.801539519,6.0480840779607075,-11.07771908013658,LOW
China,22,8.945435132,7.941384990836384,-11.22416211562347,LOW
Kuwait,22,2.305108611,2.044336162521682,-11.312805272337698,LOW
Antigua and Barbuda,22,1.455985352,1.2910077380719855,-11.330994072254539,LOW
Panama,22,3.289973922,2.9155230064198996,-11.381577011177919,LOW
Estonia,22,14.93819777,13.204360266341606,-11.60673817788392,LOW
Latvia,22,15.20641171,13.308622703747739,-12.480189557173713,LOW
Algeria,22,2.181436246,1.9008260919455857,-12.863550542398677,LOW
Lithuania,22,22.12233722,19.22370627292348,-13.102733758420301,LOW
Guatemala,22,4.937075972,4.285858079959161,-13.190355905684623,LOW
Bahrain,22,4.659013168,3.8984428919417935,-16.324707585763296,LOW
Sri Lanka,22,14.74317732,12.169352095657176,-17.457737694379322,LOW
Russia,22,21.37479131,17.466686170854093,-18.283711323616693,LOW
Kazakhstan,22,14.59769714,11.844018566373537,-18.86378753591858,LOW
Qatar,22,4.697620874,3.7659727712127338,-19.83233913029624,LOW
Belarus,22,15.61153568,12.026099662670482,-22.96658119241167,LOW
Saudi Arabia,22,0.949235808,0.7291775760047233,-23.18267285543411,LOW
Grenada,22,1.299325095,0.9086327959706741,-30.06886425366285,LOW
Jordan,22,0.603969771,0.4084321553127712,-32.375397755996104,LOW
Saint Vincent and the Grenadines,22,0.408846797,-0.5172039279320186,-226.50311356897305,LOW
Cyprus,22,3.023157229,3.4120624468474734,12.864207462213775,HIGH
